cycle,time,well,row,col,temperature,strain,mol_ID,mol_conc,replicate,OD
3,0.666666666666667,F2,6,2,30,MG1655,3-HP,300,2,0.14
3,0.666666666666667,F3,6,3,30,MG1655,3-HP,200,2,0.145
3,0.666666666666667,F4,6,4,30,MG1655,3-HP,100,2,0.147
3,0.666666666666667,F5,6,5,30,MG1655,3-HP,40,2,0.154
3,0.666666666666667,F6,6,6,30,MG1655,3-HP,20,2,0.148
3,0.666666666666667,F7,6,7,30,medium,3-HP,300,2,0.136
3,0.666666666666667,F8,6,8,30,MG1655,LA,300,2,0.163
3,0.666666666666667,F9,6,9,30,MG1655,LA,200,2,0.146
3,0.666666666666667,F10,6,10,30,MG1655,LA,100,2,0.141
3,0.666666666666667,F11,6,11,30,MG1655,LA,40,2,0.149
3,0.666666666666667,F12,6,12,30,MG1655,LA,20,2,0.147
3,0.666666666666667,G1,7,1,30,MG1655,None,0,3,0.158
3,0.666666666666667,G2,7,2,30,MG1655,3-HP,300,3,0.145
3,0.666666666666667,G3,7,3,30,MG1655,3-HP,200,3,0.146
3,0.666666666666667,G4,7,4,30,MG1655,3-HP,100,3,0.152
3,0.666666666666667,G5,7,5,30,MG1655,3-HP,40,3,0.158
3,0.666666666666667,G6,7,6,30,MG1655,3-HP,20,3,0.153
3,0.666666666666667,G7,7,7,30,medium,3-HP,300,3,0.153
3,0.666666666666667,G8,7,8,30,MG1655,LA,300,3,0.139
3,0.666666666666667,G9,7,9,30,MG1655,LA,200,3,0.149
3,0.666666666666667,G10,7,10,30,MG1655,LA,100,3,0.15
3,0.666666666666667,G11,7,11,30,MG1655,LA,40,3,0.148
3,0.666666666666667,G12,7,12,30,MG1655,LA,20,3,0.154
3,0.666666666666667,H1,8,1,30,MG1655,None,0,4,0.153
3,0.666666666666667,H2,8,2,30,MG1655,3-HP,300,4,0.154
3,0.666666666666667,H3,8,3,30,MG1655,3-HP,200,4,0.14
3,0.666666666666667,H4,8,4,30,MG1655,3-HP,100,4,0.148
3,0.666666666666667,H5,8,5,30,MG1655,3-HP,40,4,0.158
3,0.666666666666667,H6,8,6,30,MG1655,3-HP,20,4,0.148
3,0.666666666666667,H7,8,7,30,medium,3-HP,300,4,0.149
3,0.666666666666667,H8,8,8,30,MG1655,LA,300,4,0.156
3,0.666666666666667,H9,8,9,30,MG1655,LA,200,4,0.15
3,0.666666666666667,H10,8,10,30,MG1655,LA,100,4,0.139
3,0.666666666666667,H11,8,11,30,MG1655,LA,40,4,0.148
3,0.666666666666667,H12,8,12,30,MG1655,LA,20,4,0.147
4,1,A1,1,1,30,W,None,0,1,0.144
4,1,A2,1,2,30,W,3-HP,300,1,0.141
4,1,A3,1,3,30,W,3-HP,200,1,0.158
4,1,A4,1,4,30,W,3-HP,100,1,0.167
4,1,A5,1,5,30,W,3-HP,40,1,0.147
4,1,A6,1,6,30,W,3-HP,20,1,0.144
4,1,A7,1,7,30,medium,None,0,1,0.153
4,1,A8,1,8,30,W,LA,300,1,0.143
4,1,A9,1,9,30,W,LA,200,1,0.14
4,1,A10,1,10,30,W,LA,100,1,0.294
4,1,A11,1,11,30,W,LA,40,1,0.146
4,1,A12,1,12,30,W,LA,20,1,0.145
4,1,B1,2,1,30,W,None,0,2,0.155
4,1,B2,2,2,30,W,3-HP,300,2,0.141
4,1,B3,2,3,30,W,3-HP,200,2,0.15
4,1,B4,2,4,30,W,3-HP,100,2,0.143
4,1,B5,2,5,30,W,3-HP,40,2,0.143
4,1,B6,2,6,30,W,3-HP,20,2,0.144
4,1,B7,2,7,30,medium,None,0,2,0.141
4,1,B8,2,8,30,W,LA,300,2,0.148
4,1,B9,2,9,30,W,LA,200,2,0.147
4,1,B10,2,10,30,W,LA,100,2,0.144
4,1,B11,2,11,30,W,LA,40,2,0.155
4,1,B12,2,12,30,W,LA,20,2,0.147
4,1,C1,3,1,30,W,None,0,3,0.148
4,1,C2,3,2,30,W,3-HP,300,3,0.143
4,1,C3,3,3,30,W,3-HP,200,3,0.147
4,1,C4,3,4,30,W,3-HP,100,3,0.154
4,1,C5,3,5,30,W,3-HP,40,3,0.141
4,1,C6,3,6,30,W,3-HP,20,3,0.137
4,1,C7,3,7,30,medium,None,0,3,0.141
4,1,C8,3,8,30,W,LA,300,3,0.15
4,1,C9,3,9,30,W,LA,200,3,0.156
4,1,C10,3,10,30,W,LA,100,3,0.143
4,1,C11,3,11,30,W,LA,40,3,0.152
4,1,C12,3,12,30,W,LA,20,3,0.155
4,1,D1,4,1,30,W,None,0,4,0.155
4,1,D2,4,2,30,W,3-HP,300,4,0.148
4,1,D3,4,3,30,W,3-HP,200,4,0.142
4,1,D4,4,4,30,W,3-HP,100,4,0.141
4,1,D5,4,5,30,W,3-HP,40,4,0.141
4,1,D6,4,6,30,W,3-HP,20,4,0.146
4,1,D7,4,7,30,medium,None,0,4,0.156
4,1,D8,4,8,30,W,LA,300,4,0.137
4,1,D9,4,9,30,W,LA,200,4,0.147
4,1,D10,4,10,30,W,LA,100,4,0.132
4,1,D11,4,11,30,W,LA,40,4,0.134
4,1,D12,4,12,30,W,LA,20,4,0.155
4,1,E1,5,1,30,MG1655,None,0,1,0.163
4,1,E2,5,2,30,MG1655,3-HP,300,1,0.147
4,1,E3,5,3,30,MG1655,3-HP,200,1,0.145
4,1,E4,5,4,30,MG1655,3-HP,100,1,0.156
4,1,E5,5,5,30,MG1655,3-HP,40,1,0.142
4,1,E6,5,6,30,MG1655,3-HP,20,1,0.146
4,1,E7,5,7,30,medium,3-HP,300,1,0.147
4,1,E8,5,8,30,MG1655,LA,300,1,0.153
4,1,E9,5,9,30,MG1655,LA,200,1,0.15
4,1,E10,5,10,30,MG1655,LA,100,1,0.141
4,1,E11,5,11,30,MG1655,LA,40,1,0.148
4,1,E12,5,12,30,MG1655,LA,20,1,0.144
4,1,F1,6,1,30,MG1655,None,0,2,0.154
4,1,F2,6,2,30,MG1655,3-HP,300,2,0.14
4,1,F3,6,3,30,MG1655,3-HP,200,2,0.145
4,1,F4,6,4,30,MG1655,3-HP,100,2,0.147
4,1,F5,6,5,30,MG1655,3-HP,40,2,0.153
4,1,F6,6,6,30,MG1655,3-HP,20,2,0.148
4,1,F7,6,7,30,medium,3-HP,300,2,0.136
4,1,F8,6,8,30,MG1655,LA,300,2,0.163
4,1,F9,6,9,30,MG1655,LA,200,2,0.146
4,1,F10,6,10,30,MG1655,LA,100,2,0.141
4,1,F11,6,11,30,MG1655,LA,40,2,0.148
4,1,F12,6,12,30,MG1655,LA,20,2,0.147
4,1,G1,7,1,30,MG1655,None,0,3,0.16
4,1,G2,7,2,30,MG1655,3-HP,300,3,0.145
4,1,G3,7,3,30,MG1655,3-HP,200,3,0.146
4,1,G4,7,4,30,MG1655,3-HP,100,3,0.152
4,1,G5,7,5,30,MG1655,3-HP,40,3,0.158
4,1,G6,7,6,30,MG1655,3-HP,20,3,0.153
4,1,G7,7,7,30,medium,3-HP,300,3,0.153
4,1,G8,7,8,30,MG1655,LA,300,3,0.138
4,1,G9,7,9,30,MG1655,LA,200,3,0.148
4,1,G10,7,10,30,MG1655,LA,100,3,0.149
4,1,G11,7,11,30,MG1655,LA,40,3,0.148
4,1,G12,7,12,30,MG1655,LA,20,3,0.153
4,1,H1,8,1,30,MG1655,None,0,4,0.153
4,1,H2,8,2,30,MG1655,3-HP,300,4,0.154
4,1,H3,8,3,30,MG1655,3-HP,200,4,0.14
4,1,H4,8,4,30,MG1655,3-HP,100,4,0.148
4,1,H5,8,5,30,MG1655,3-HP,40,4,0.157
4,1,H6,8,6,30,MG1655,3-HP,20,4,0.148
4,1,H7,8,7,30,medium,3-HP,300,4,0.149
4,1,H8,8,8,30,MG1655,LA,300,4,0.156
4,1,H9,8,9,30,MG1655,LA,200,4,0.15
4,1,H10,8,10,30,MG1655,LA,100,4,0.139
4,1,H11,8,11,30,MG1655,LA,40,4,0.148
4,1,H12,8,12,30,MG1655,LA,20,4,0.147
5,1.33333333333333,A1,1,1,30.1,W,None,0,1,0.143
5,1.33333333333333,A2,1,2,30.1,W,3-HP,300,1,0.141
5,1.33333333333333,A3,1,3,30.1,W,3-HP,200,1,0.157
5,1.33333333333333,A4,1,4,30.1,W,3-HP,100,1,0.166
5,1.33333333333333,A5,1,5,30.1,W,3-HP,40,1,0.146
5,1.33333333333333,A6,1,6,30.1,W,3-HP,20,1,0.144
5,1.33333333333333,A7,1,7,30.1,medium,None,0,1,0.152
5,1.33333333333333,A8,1,8,30.1,W,LA,300,1,0.143
5,1.33333333333333,A9,1,9,30.1,W,LA,200,1,0.14
5,1.33333333333333,A10,1,10,30.1,W,LA,100,1,0.296
5,1.33333333333333,A11,1,11,30.1,W,LA,40,1,0.146
5,1.33333333333333,A12,1,12,30.1,W,LA,20,1,0.144
5,1.33333333333333,B1,2,1,30.1,W,None,0,2,0.154
5,1.33333333333333,B2,2,2,30.1,W,3-HP,300,2,0.141
5,1.33333333333333,B3,2,3,30.1,W,3-HP,200,2,0.15
5,1.33333333333333,B4,2,4,30.1,W,3-HP,100,2,0.143
5,1.33333333333333,B5,2,5,30.1,W,3-HP,40,2,0.143
5,1.33333333333333,B6,2,6,30.1,W,3-HP,20,2,0.144
5,1.33333333333333,B7,2,7,30.1,medium,None,0,2,0.141
5,1.33333333333333,B8,2,8,30.1,W,LA,300,2,0.146
5,1.33333333333333,B9,2,9,30.1,W,LA,200,2,0.147
5,1.33333333333333,B10,2,10,30.1,W,LA,100,2,0.144
5,1.33333333333333,B11,2,11,30.1,W,LA,40,2,0.155
5,1.33333333333333,B12,2,12,30.1,W,LA,20,2,0.147
5,1.33333333333333,C1,3,1,30.1,W,None,0,3,0.147
5,1.33333333333333,C2,3,2,30.1,W,3-HP,300,3,0.143
5,1.33333333333333,C3,3,3,30.1,W,3-HP,200,3,0.147
5,1.33333333333333,C4,3,4,30.1,W,3-HP,100,3,0.154
5,1.33333333333333,C5,3,5,30.1,W,3-HP,40,3,0.141
5,1.33333333333333,C6,3,6,30.1,W,3-HP,20,3,0.137
5,1.33333333333333,C7,3,7,30.1,medium,None,0,3,0.141
5,1.33333333333333,C8,3,8,30.1,W,LA,300,3,0.15
5,1.33333333333333,C9,3,9,30.1,W,LA,200,3,0.156
5,1.33333333333333,C10,3,10,30.1,W,LA,100,3,0.143
5,1.33333333333333,C11,3,11,30.1,W,LA,40,3,0.152
5,1.33333333333333,C12,3,12,30.1,W,LA,20,3,0.155
5,1.33333333333333,D1,4,1,30.1,W,None,0,4,0.154
5,1.33333333333333,D2,4,2,30.1,W,3-HP,300,4,0.148
5,1.33333333333333,D3,4,3,30.1,W,3-HP,200,4,0.142
5,1.33333333333333,D4,4,4,30.1,W,3-HP,100,4,0.141
5,1.33333333333333,D5,4,5,30.1,W,3-HP,40,4,0.141
5,1.33333333333333,D6,4,6,30.1,W,3-HP,20,4,0.146
5,1.33333333333333,D7,4,7,30.1,medium,None,0,4,0.155
5,1.33333333333333,D8,4,8,30.1,W,LA,300,4,0.136
5,1.33333333333333,D9,4,9,30.1,W,LA,200,4,0.146
5,1.33333333333333,D10,4,10,30.1,W,LA,100,4,0.132
5,1.33333333333333,D11,4,11,30.1,W,LA,40,4,0.134
5,1.33333333333333,D12,4,12,30.1,W,LA,20,4,0.155
5,1.33333333333333,E1,5,1,30.1,MG1655,None,0,1,0.164
5,1.33333333333333,E2,5,2,30.1,MG1655,3-HP,300,1,0.147
5,1.33333333333333,E3,5,3,30.1,MG1655,3-HP,200,1,0.144
5,1.33333333333333,E4,5,4,30.1,MG1655,3-HP,100,1,0.156
